reset_n registers                  ini.pc   ini.adjustment ini.left_value ini.right_value ini.destination ini.operation ini.adjustment_operation ini.destination_is_memory ini.has_flushed ini.is_valid outi.hold  :  expected_ini.hold expected_outi.pc expected_outi.adjustment expected_outi.destination_value expected_outi.destination expected_outi.flags expected_outi.destination_is_memory expected_outi.has_flushed expected_outi.is_valid
0       XXXXXXXX                   XXXXXXXX XXXXXXXX       XXXXXXXX       XXXXXXXX        XX              X             XXX                      X                         X               X            X          :  0                 XXXXXXXX         XXXXXXXX                 XXXXXXXX                        XX                        XXXX                X                                   0						  0
1       00000000,00000000,00000000 00000000 00000000       00000000       00000000        00              0             000                      0                         0               1            0          :  0                 00000000         00000000                 00000000                        00                        0001                0                                   0						  1
1       00000000,00000000,00000000 00000000 00000000       00000000       00000000        00              0             001                      0                         0               1            0          :  0                 00000000         00000000                 00000000                        00                        0001                0                                   0						  1
1       00000000,00000000,00000000 00000000 00000000       00000000       00000000        00              0             010                      0                         0               1            0          :  0                 00000000         00000000                 00000000                        00                        0001                0                                   0						  1
1       00000000,00000000,00000000 00000000 00000000       00000000       00000000        00              0             011                      0                         0               1            0          :  0                 00000000         00000000                 00000000                        00                        0001                0                                   0						  1
1       00000000,00000000,00000000 00000000 00000000       00000000       00000000        00              0             1XX                      0                         0               1            0          :  0                 00000000         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       00000000        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       00000000        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       44444444        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       44444444        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 88888888                        00                        0110                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       00000000        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       00000000        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       44444444        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       44444444        00              0             000                      0                         0               1            0          :  0                 44444444         00000000                 88888888                        00                        0110                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       00000000        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       00000000        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       44444444        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 88888888                        00                        0100                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       44444444        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 CCCCCCCC                        00                        0100                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       00000000        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       00000000        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       44444444        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 88888880                        00                        0100                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       44444444        00              0             001                      0                         0               1            0          :  0                 44444444         00000000                 CCCCCCC4                        00                        0100                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       00000000        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       00000000        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       44444444        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 22222222                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       44444444        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 66666666                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       88888888        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       88888888        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 88888888                        00                        0110                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       00000000        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       00000000        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       44444444        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 02222222                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       44444444        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 46666666                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       88888888        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 04444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       88888888        00              0             010                      0                         0               1            0          :  0                 44444444         00000000                 48888888                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       00000000        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       00000000        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       44444444        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 22222222                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       44444444        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 66666666                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       00000000       88888888        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 C4444444                        00                        0100                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000000       44444444       88888888        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 08888888                        00                        1000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       00000000        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 00000000                        00                        0001                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       00000000        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 44444444                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       44444444        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 02222222                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       44444444       44444444        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 46666666                        00                        0000                0                                   0						  1
1       44444444,44444444,44444444 44444444 00000004       00000000       88888888        00              0             011                      0                         0               1            0          :  0                 44444444         00000000                 FC444444                        00                        0100                0                                   0						  1
